X;Y;x0_Si;ampli_Si;area_Si;fwhm_Si;Quadrant;Zone;Slot;DeltaW;Strain (GPa);NB pts
0.0;0.0;514.561;8954.123;54357.61;3.865;;Center;2;6.13900000000001;1.3352325000000025;49pts
44.667;0.0;514.568;8841.184;54022.971;3.89;;Center;2;6.132000000000062;1.3337100000000135;49pts
31.584;31.584;514.775;8885.474;54540.743;3.908;Q3;Center;2;5.925000000000068;1.2886875000000149;49pts
0.0;44.667;514.879;8760.634;54422.119;3.955;;Center;2;5.821000000000026;1.2660675000000057;49pts
-31.584;31.584;514.727;8839.336;54387.567;3.917;Q2;Center;2;5.97300000000007;1.299127500000015;49pts
-44.667;0.0;514.822;8816.475;54573.781;3.941;;Center;2;5.878000000000043;1.2784650000000093;49pts
-31.584;-31.584;514.761;8738.278;54440.073;3.966;Q1;Center;2;5.939000000000078;1.291732500000017;49pts
0.0;-44.667;514.68;9141.244;56243.701;3.917;;Center;2;6.020000000000096;1.3093500000000209;49pts
31.584;-31.584;514.689;8870.952;54936.331;3.942;Q4;Center;2;6.011000000000081;1.3073925000000175;49pts
89.333;0.0;514.938;7755.268;47799.195;3.924;;Mid-Radius;2;5.762000000000057;1.2532350000000123;49pts
82.533;34.186;514.864;7663.309;47377.049;3.936;Q3;Mid-Radius;2;5.836000000000013;1.2693300000000027;49pts
63.168;63.168;514.834;7682.175;47016.384;3.896;Q3;Mid-Radius;2;5.866000000000099;1.2758550000000215;49pts
34.186;82.533;514.861;7529.693;46670.309;3.946;Q3;Mid-Radius;2;5.839000000000056;1.269982500000012;49pts
0.0;89.333;514.752;7529.455;46424.25;3.925;;Mid-Radius;2;5.948000000000093;1.2936900000000202;49pts
-34.186;82.533;514.863;7464.412;46199.077;3.94;Q2;Mid-Radius;2;5.836999999999989;1.2695474999999976;49pts
-63.168;63.168;514.996;7877.004;48599.335;3.928;Q2;Mid-Radius;2;5.704000000000065;1.240620000000014;49pts
-82.533;34.186;515.036;7636.956;46983.92;3.917;Q2;Mid-Radius;2;5.664000000000101;1.231920000000022;49pts
-89.333;0.0;514.817;8072.97;49466.419;3.901;;Mid-Radius;2;5.883000000000038;1.2795525000000083;49pts
-82.533;-34.186;514.827;7625.068;46874.306;3.914;Q1;Mid-Radius;2;5.873000000000047;1.2773775000000105;49pts
-63.168;-63.168;514.815;7580.267;46459.783;3.902;Q1;Mid-Radius;2;5.884999999999991;1.279987499999998;49pts
-34.186;-82.533;514.9;8140.625;50521.01;3.951;Q1;Mid-Radius;2;5.800000000000068;1.2615000000000147;49pts
0.0;-89.333;514.87;7736.425;47124.26;3.878;;Mid-Radius;2;5.830000000000041;1.2680250000000088;49pts
34.186;-82.533;514.921;7924.695;48745.466;3.916;Q4;Mid-Radius;2;5.778999999999996;1.2569324999999991;49pts
63.168;-63.168;514.76;7660.295;47133.321;3.917;Q4;Mid-Radius;2;5.940000000000055;1.291950000000012;49pts
82.533;-34.186;514.882;7680.355;47172.931;3.91;Q4;Mid-Radius;2;5.818000000000097;1.265415000000021;49pts
134.0;0.0;515.044;7860.565;48609.03;3.937;;Edge;2;5.656000000000063;1.2301800000000136;49pts
129.434;34.682;514.999;8328.653;50970.808;3.896;Q3;Edge;2;5.701000000000022;1.2399675000000048;49pts
116.048;67.0;514.977;8289.619;51393.446;3.947;Q3;Edge;2;5.72300000000007;1.2447525000000152;49pts
94.752;94.752;515.0;8308.457;51019.384;3.909;Q3;Edge;2;5.7000000000000455;1.23975000000001;49pts
67.0;116.047;514.856;8131.84;51189.801;4.008;Q3;Edge;2;5.844000000000051;1.271070000000011;49pts
34.682;129.434;515.005;8359.889;52697.138;4.013;Q3;Edge;2;5.69500000000005;1.2386625000000109;49pts
0.0;134.0;515.006;8371.408;52074.332;3.96;;Edge;2;5.694000000000074;1.238445000000016;49pts
-34.682;129.434;514.822;7746.597;48348.507;3.973;Q2;Edge;2;5.878000000000043;1.2784650000000093;49pts
-67.0;116.047;515.116;8578.049;53619.153;3.979;Q2;Edge;2;5.58400000000006;1.2145200000000131;49pts
-94.752;94.752;514.918;7680.504;47864.911;3.967;Q2;Edge;2;5.782000000000039;1.2575850000000084;49pts
-116.047;67.0;514.911;8722.192;53731.609;3.922;Q2;Edge;2;5.789000000000101;1.259107500000022;49pts
-129.434;34.682;514.936;8494.374;52613.131;3.943;Q2;Edge;2;5.76400000000001;1.253670000000002;49pts
-134.0;0.0;515.116;8662.911;54313.349;3.991;;Edge;2;5.58400000000006;1.2145200000000131;49pts
-129.434;-34.682;514.986;8310.532;52289.527;4.006;Q1;Edge;2;5.714000000000056;1.242795000000012;49pts
-116.047;-67.0;514.926;8652.995;54250.461;3.991;Q1;Edge;2;5.774000000000001;1.255845;49pts
-94.752;-94.752;515.071;8160.981;50872.678;3.968;Q1;Edge;2;5.629000000000019;1.224307500000004;49pts
-67.0;-116.047;514.81;8771.409;54121.649;3.928;Q1;Edge;2;5.8900000000001;1.2810750000000215;49pts
-34.682;-129.434;515.139;7991.394;49880.649;3.974;Q1;Edge;2;5.561000000000036;1.2095175000000078;49pts
0.0;-134.0;515.128;8221.14;51209.147;3.965;;Edge;2;5.572000000000003;1.2119100000000005;49pts
34.682;-129.434;515.069;8308.558;51622.994;3.955;Q4;Edge;2;5.6310000000000855;1.2247425000000185;49pts
67.0;-116.047;515.002;7966.568;49672.073;3.969;Q4;Edge;2;5.698000000000093;1.2393150000000202;49pts
